key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,74,74,9,1,10000,0,151000,11,1.3694
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,75,75,77,1,25000,0,75000,59,6.2758
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,76,76,2,1,10000,0,61000,4,1.9511
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,77,77,55,1,5000,0,14000,149,1.9396
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,78,78,67,1,25000,0,75000,10,1.4506
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,79,79,75,1,25000,0,35000,60,2.9039
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,80,80,22,1,10000,0,61000,89,7.7252
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,81,81,15,1,10000,0,20000,59,1.5009
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,82,82,26,1,10000,0,39000,150,2.6512
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,83,83,72,1,25000,0,75000,31,4.624
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,84,84,49,1,5000,0,149000,59,1.9573
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,85,85,58,1,5000,0,106000,152,1.2055
