ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,10.0,0.0,60.0,29.0,,,,,0.0,48.0,48.0,12.0,,,,,,,,,,,,,,,,,,right,1.0,4.64941737009,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,150.0,29.0,,,,,0.0,49.0,49.0,74.0,,,,,,,,,,,,,,,,,,left,1.0,2.06658352725,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,149.0,10.0,,,,,0.0,50.0,50.0,39.0,,,,,,,,,,,,,,,,,,left,1.0,1.13313878048,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,35.0,150.0,,,,,0.0,51.0,51.0,56.0,,,,,,,,,,,,,,,,,,left,0.0,2.95025281236,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,61.0,89.0,,,,,0.0,52.0,52.0,22.0,,,,,,,,,,,,,,,,,,left,0.0,4.66645470448,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,106.0,152.0,,,,,0.0,53.0,53.0,58.0,,,,,,,,,,,,,,,,,,left,1.0,5.03280546702,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,15.0,91.0,,,,,0.0,54.0,54.0,50.0,,,,,,,,,,,,,,,,,,right,0.0,4.16614318732,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,14.0,149.0,,,,,0.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,right,0.0,4.28251142707,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,104.0,10.0,,,,,0.0,56.0,56.0,38.0,,,,,,,,,,,,,,,,,,right,1.0,2.29983560508,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,75.0,31.0,,,,,0.0,57.0,57.0,72.0,,,,,,,,,,,,,,,,,,right,1.0,1.99989256263,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
