key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.354705,0.0,44.0,44.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.599445,0.0,45.0,45.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.72861,0.0,46.0,46.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.209715,0.0,47.0,47.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.09832,0.0,48.0,48.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.925425,0.0,49.0,49.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,1.89915,0.0,50.0,50.0,15.0,1.0,10000.0,0.0,20000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.15783,0.0,51.0,51.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.140585,0.0,52.0,52.0,17.0,1.0,10000.0,0.0,60000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.65135,0.0,53.0,53.0,2.0,1.0,10000.0,0.0,61000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.47885,0.0,54.0,54.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,6.253435,0.0,55.0,55.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.54963,0.0,56.0,56.0,38.0,1.0,5000.0,0.0,104000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.00506,0.0,57.0,57.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,6.593375,0.0,58.0,58.0,79.0,1.0,25000.0,0.0,150000.0,61.0
