ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,10.0,0.0,110.0,90.0,,,,,0.0,63.0,63.0,23.0,,,,,,,,,,,,,,,,,,left,1.0,1.2002164172,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,39.0,6.0,,,,,0.0,64.0,64.0,1.0,,,,,,,,,,,,,,,,,,right,1.0,2.21674073348,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,104.0,5.0,,,,,0.0,65.0,65.0,33.0,,,,,,,,,,,,,,,,,,left,1.0,1.11698979372,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,55.0,11.0,,,,,0.0,66.0,66.0,66.0,,,,,,,,,,,,,,,,,,right,1.0,1.51678262884,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,15.0,91.0,,,,,0.0,67.0,67.0,50.0,,,,,,,,,,,,,,,,,,left,0.0,2.56663111132,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,125.0,59.0,,,,,0.0,68.0,68.0,78.0,,,,,,,,,,,,,,,,,,left,0.0,4.5653135865,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,56.0,60.0,,,,,0.0,69.0,69.0,47.0,,,,,,,,,,,,,,,,,,left,0.0,1.60029198369,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,104.0,90.0,,,,,0.0,70.0,70.0,53.0,,,,,,,,,,,,,,,,,,right,1.0,2.20080603892,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,150.0,29.0,,,,,0.0,71.0,71.0,74.0,,,,,,,,,,,,,,,,,,right,1.0,2.33347606938,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,54.0,5.0,,,,,0.0,72.0,72.0,32.0,,,,,,,,,,,,,,,,,,left,1.0,1.3000377831,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,35.0,11.0,,,,,0.0,73.0,73.0,65.0,,,,,,,,,,,,,,,,,,right,0.0,3.049576547,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,60.0,29.0,,,,,0.0,74.0,74.0,12.0,,,,,,,,,,,,,,,,,,right,1.0,2.49978641002,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,149.0,59.0,,,,,0.0,75.0,75.0,49.0,,,,,,,,,,,,,,,,,,right,0.0,2.66636765748,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,125.0,4.0,,,,,0.0,76.0,76.0,63.0,,,,,,,,,,,,,,,,,,right,1.0,1.11688543996,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,56.0,9.0,,,,,0.0,77.0,77.0,37.0,,,,,,,,,,,,,,,,,,right,1.0,0.933458591346,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,10.01,150.0,,,,,0.0,78.0,78.0,25.0,,,,,,,,,,,,,,,,,,right,0.0,2.68326929025,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,16.0,4.0,,,,,0.0,79.0,79.0,30.0,,,,,,,,,,,,,,,,,,left,1.0,1.76674266113,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,40.0,10.0,,,,,0.0,80.0,80.0,6.0,,,,,,,,,,,,,,,,,,left,1.0,2.91623670189,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,111.0,10.0,,,,,0.0,81.0,81.0,8.0,,,,,,,,,,,,,,,,,,right,1.0,1.80046367785,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,149.0,10.0,,,,,0.0,82.0,82.0,39.0,,,,,,,,,,,,,,,,,,right,1.0,1.28336233459,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,35.0,150.0,,,,,0.0,83.0,83.0,56.0,,,,,,,,,,,,,,,,,,right,0.0,1.55025689956,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,35.0,60.0,,,,,0.0,84.0,84.0,75.0,,,,,,,,,,,,,,,,,,right,0.0,5.36637048516,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,20.0,59.0,,,,,0.0,85.0,85.0,15.0,,,,,,,,,,,,,,,,,,left,0.0,1.7835661578,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,151.0,11.0,,,,,0.0,86.0,86.0,9.0,,,,,,,,,,,,,,,,,,left,1.0,1.43333547516,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,150.0,90.0,,,,,0.0,87.0,87.0,54.0,,,,,,,,,,,,,,,,,,left,1.0,6.88233268121,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,104.0,10.0,,,,,0.0,88.0,88.0,38.0,,,,,,,,,,,,,,,,,,right,1.0,6.33355574775,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,21.0,31.0,,,,,0.0,89.0,89.0,10.0,,,,,,,,,,,,,,,,,,right,0.0,1.1169512393,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
