ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro1.started,intro1.stopped,key1.keys,key1.rt,key1.started,key1.stopped,intro2.started,intro2.stopped,key2.keys,key2.rt,key2.started,key2.stopped,intro2_2.started,intro2_2.stopped,key2_2.keys,key2_2.rt,key2_2.started,key2_2.stopped,Intro2_3.started,Intro2_3.stopped,key2_3.keys,key2_3.rt,key2_3.started,key2_3.stopped,key3.keys,key3.rt,key3.started,key3.stopped,intro3.started,intro3.stopped,ss_am.started,ss_am.stopped,ss_del.started,ss_del.stopped,ll_am.started,ll_am.stopped,ll_del.started,ll_del.stopped,Intro4.started,Intro4.stopped,key4.keys,key4.rt,key4.started,key4.stopped,pregunta.started,pregunta.stopped,ssAm_P.started,ssAm_P.stopped,ssDel_P.started,ssDel_P.stopped,llAm_P.started,llAm_P.stopped,llDel_P.started,llDel_P.stopped,respP.keys,respP.corr,respP.rt,respP.started,respP.stopped,feedbackP.started,feedbackP.stopped,comienzo.started,comienzo.stopped,key5.keys,key5.rt,key5.started,key5.stopped,preguntaT.started,preguntaT.stopped,ssAm_T.started,ssAm_T.stopped,ssDel_T.started,ssDel_T.stopped,llAm_T.started,llAm_T.stopped,llDel_T.started,llDel_T.stopped,respT.keys,respT.corr,respT.rt,respT.started,respT.stopped,textfbT.started,textfbT.stopped,session,participant,date,expName,psychopyVersion,frameRate,Unnamed: 105
,,,10.0,0.0,40.0,91.0,,,,,0.0,25.0,25.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.2599626999872,None,325.2599626999872,None,325.2599626999872,None,325.2599626999872,None,325.2599626999872,None,right,0.0,3.0926261999993585,325.7548124999885,None,328.88284519998706,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,75.0,151.0,,,,,0.0,26.0,26.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.8936502999859,None,331.8936502999859,None,331.8936502999859,None,331.8936502999859,None,331.8936502999859,None,left,0.0,1.6477947999956086,332.38648229998944,None,334.0531076999905,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,39.0,29.0,,,,,0.0,27.0,27.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0737614999962,None,337.0737614999962,None,337.0737614999962,None,337.0737614999962,None,337.0737614999962,None,right,1.0,1.8765959000011208,337.5695498999994,None,339.4784141999989,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,55.0,151.0,,,,,0.0,28.0,28.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.4853708999872,None,342.4853708999872,None,342.4853708999872,None,342.4853708999872,None,342.4853708999872,None,left,0.0,2.4663299999956507,342.98460049999994,None,345.4787267999927,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,104.0,90.0,,,,,0.0,29.0,29.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.4931297999865,None,348.4931297999865,None,348.4931297999865,None,348.4931297999865,None,348.4931297999865,None,left,1.0,2.237484500001301,348.98338669999794,None,351.2549389999913,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,109.0,5.0,,,,,0.0,30.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2692012999905,None,354.2692012999905,None,354.2692012999905,None,354.2692012999905,None,354.2692012999905,None,left,1.0,2.122607199999038,354.7664124999865,None,356.91615289999754,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,75.0,5.0,,,,,0.0,31.0,31.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.9323626999976,None,359.9323626999976,None,359.9323626999976,None,359.9323626999976,None,359.9323626999976,None,left,1.0,2.652744899998652,360.4319628999947,None,363.11378649999097,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,125.0,9.0,,,,,0.0,32.0,32.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.1264923999988,None,366.1264923999988,None,366.1264923999988,None,366.1264923999988,None,366.1264923999988,None,left,1.0,1.386783199995989,366.6306862999918,None,368.0474703999935,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,20.0,59.0,,,,,0.0,33.0,33.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0693964999955,None,371.0693964999955,None,371.0693964999955,None,371.0693964999955,None,371.0693964999955,None,left,0.0,4.176456300003338,371.5632495999889,None,375.7738579999859,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,150.0,89.0,,,,,0.0,34.0,34.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.7796688999952,None,378.7796688999952,None,378.7796688999952,None,378.7796688999952,None,378.7796688999952,None,right,1.0,2.57003529999929,379.2770407999924,None,381.8864438999881,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
