key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,60,60,80,1,25000,0,35000,90,0.151625,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,61,61,74,1,25000,0,150000,29,2.362435,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,62,62,67,1,25000,0,75000,10,4.951355,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,63,63,42,1,5000,0,56000,29,0.18461,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,64,64,12,1,10000,0,60000,29,0.34636,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,65,65,15,1,10000,0,20000,59,0.19467,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,66,66,4,1,10000,0,150000,5,0.105205,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,67,67,5,1,10000,0,19000,11,0.239445,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,68,68,57,1,5000,0,55000,151,0.260695,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,69,69,65,1,25000,0,35000,11,0.27112,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,70,70,36,1,5000,0,36000,9,0.42877,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,71,71,17,1,10000,0,60000,60,0.441195,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,72,72,16,1,10000,0,39000,59,0.85965,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,73,73,32,1,5000,0,54000,5,0.04546,,
