key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.154035,0,46,46,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.87564,0,47,47,34,1,5000,0,151000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.21308,0,48,48,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.4378,0,49,49,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,16.01888,0,50,50,22,1,10000,0,61000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.2329,0,51,51,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.56751,0,52,52,32,1,5000,0,54000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.18436,0,53,53,29,1,10000,0,151000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.7392,0,54,54,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.9833,0,55,55,9,1,10000,0,151000,11,,
