key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.3376,0.0,59.0,59.0,23.0,1.0,10000.0,0.0,110000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.8827,0.0,60.0,60.0,50.0,1.0,5000.0,0.0,15000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.049,0.0,61.0,61.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,5.1083,0.0,62.0,62.0,81.0,1.0,25000.0,0.0,55000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.444,0.0,63.0,63.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.4057,0.0,64.0,64.0,54.0,1.0,5000.0,0.0,150000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.5223,0.0,65.0,65.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.3827,0.0,66.0,66.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.5793,0.0,67.0,67.0,17.0,1.0,10000.0,0.0,60000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.3004,0.0,68.0,68.0,14.0,1.0,10000.0,0.0,150000.0,30.0
