key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,54.0,54.0,65.0,1.0,25000.0,0.0,35000.0,11.0,1.821,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,55.0,55.0,7.0,1.0,10000.0,0.0,59000.0,9.0,2.772,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,56.0,56.0,50.0,1.0,5000.0,0.0,15000.0,91.0,2.691,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,57.0,57.0,78.0,1.0,25000.0,0.0,125000.0,59.0,1.662,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,58.0,58.0,49.0,1.0,5000.0,0.0,149000.0,59.0,1.989,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,59.0,59.0,1.0,1.0,10000.0,0.0,39000.0,6.0,1.379,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,60.0,60.0,13.0,1.0,10000.0,0.0,111000.0,30.0,1.846,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,61.0,61.0,2.0,1.0,10000.0,0.0,61000.0,4.0,2.9,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,62.0,62.0,79.0,1.0,25000.0,0.0,150000.0,61.0,1.219,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,63.0,63.0,69.0,1.0,25000.0,0.0,150000.0,9.0,0.936,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,64.0,64.0,24.0,1.0,10000.0,0.0,149000.0,89.0,2.555,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,65.0,65.0,45.0,1.0,5000.0,0.0,15000.0,61.0,2.119,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,66.0,66.0,5.0,1.0,10000.0,0.0,19000.0,11.0,5.551,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,67.0,67.0,84.0,1.0,25000.0,0.0,150000.0,89.0,2.631,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,68.0,68.0,82.0,1.0,25000.0,0.0,75000.0,90.0,1.212,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,69.0,69.0,48.0,1.0,5000.0,0.0,105000.0,60.0,1.607,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,70.0,70.0,62.0,1.0,25000.0,0.0,75000.0,5.0,1.503,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,71.0,71.0,83.0,1.0,25000.0,0.0,125000.0,89.0,0.77,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,72.0,72.0,25.0,1.0,10000.0,0.0,10000.0,150.0,0.761,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,73.0,73.0,85.0,1.0,25000.0,0.0,35000.0,150.0,1.496,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,74.0,74.0,75.0,1.0,25000.0,0.0,35000.0,60.0,3.975,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,75.0,75.0,38.0,1.0,5000.0,0.0,104000.0,10.0,5.057,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,76.0,76.0,67.0,1.0,25000.0,0.0,75000.0,10.0,1.186,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,77.0,77.0,70.0,1.0,25000.0,0.0,35000.0,30.0,1.247,,
