key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,10.3422,0.0,57.0,57.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.4507,0.0,58.0,58.0,83.0,1.0,25000.0,0.0,125000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,8.4913,0.0,59.0,59.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.5202,0.0,60.0,60.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,10.3466,0.0,61.0,61.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,6.495,0.0,62.0,62.0,46.0,1.0,5000.0,0.0,36000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.4006,0.0,63.0,63.0,20.0,1.0,10000.0,0.0,20000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.0728,0.0,64.0,64.0,0.0,1.0,10000.0,0.0,20000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.3362,0.0,65.0,65.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.6933,0.0,66.0,66.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.6929,0.0,67.0,67.0,11.0,1.0,10000.0,0.0,39000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.0446,0.0,68.0,68.0,54.0,1.0,5000.0,0.0,150000.0,90.0
