key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del,key_resp_4_keys,key_resp_4_rt
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.075025,0.0,50.0,50.0,81.0,1.0,25000.0,0.0,55000.0,en 90 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.535565,0.0,51.0,51.0,34.0,1.0,5000.0,0.0,151000.0,en 4 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.026495,0.0,52.0,52.0,39.0,1.0,5000.0,0.0,149000.0,en 10 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.11272,0.0,53.0,53.0,16.0,1.0,10000.0,0.0,39000.0,en 59 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.050905,0.0,54.0,54.0,56.0,1.0,5000.0,0.0,35000.0,en 150 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.24178,0.0,55.0,55.0,62.0,1.0,25000.0,0.0,75000.0,en 5 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.659415,0.0,56.0,56.0,11.0,1.0,10000.0,0.0,39000.0,en 29 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.001535,0.0,57.0,57.0,83.0,1.0,25000.0,0.0,125000.0,en 89 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.1485,0.0,58.0,58.0,6.0,1.0,10000.0,0.0,40000.0,en 10 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.600685,0.0,59.0,59.0,43.0,1.0,5000.0,0.0,106000.0,en 29 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.58984,0.0,60.0,60.0,65.0,1.0,25000.0,0.0,35000.0,en 11 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.93019,0.0,61.0,61.0,28.0,1.0,10000.0,0.0,109000.0,en 149 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.467665,0.0,62.0,62.0,19.0,1.0,10000.0,0.0,149000.0,en 61 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.451975,0.0,63.0,63.0,82.0,1.0,25000.0,0.0,75000.0,en 90 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.1867,0.0,64.0,64.0,0.0,1.0,10000.0,0.0,20000.0,en 5 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.719115,0.0,65.0,65.0,15.0,1.0,10000.0,0.0,20000.0,en 59 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,6.029385,0.0,66.0,66.0,23.0,1.0,10000.0,0.0,110000.0,en 90 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.486985,0.0,67.0,67.0,10.0,1.0,10000.0,0.0,21000.0,en 31 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.275815,0.0,68.0,68.0,8.0,1.0,10000.0,0.0,111000.0,en 10 dias,,
