ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,5,0,151.0,4,,,,,0,71,71,34,,,,,,,,,,,,,,,,,,left,1,0.767544707283,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,90,,,,,0,72,72,82,,,,,,,,,,,,,,,,,,left,1,1.55014198227,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,10.01,150,,,,,0,73,73,25,,,,,,,,,,,,,,,,,,right,0,1.1999916723,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,15.0,61,,,,,0,74,74,45,,,,,,,,,,,,,,,,,,right,0,4.78318483988,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,150.0,4,,,,,0,75,75,64,,,,,,,,,,,,,,,,,,right,1,0.950370016973,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,20.0,90,,,,,0,76,76,20,,,,,,,,,,,,,,,,,,left,0,2.56652389653,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,104.0,90,,,,,0,77,77,53,,,,,,,,,,,,,,,,,,right,1,1.20010579238,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,39.0,6,,,,,0,78,78,1,,,,,,,,,,,,,,,,,,right,1,0.80022474518,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,59.0,9,,,,,0,79,79,7,,,,,,,,,,,,,,,,,,right,1,0.700178788509,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,39.0,150,,,,,0,80,80,26,,,,,,,,,,,,,,,,,,right,0,2.49975993577,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,39.0,29,,,,,0,81,81,11,,,,,,,,,,,,,,,,,,right,0,6.11587988771,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,35.0,11,,,,,0,82,82,65,,,,,,,,,,,,,,,,,,left,1,1.06677783979,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,40.0,91,,,,,0,83,83,21,,,,,,,,,,,,,,,,,,right,0,1.79996925918,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,109.0,149,,,,,0,84,84,28,,,,,,,,,,,,,,,,,,left,0,2.45000452362,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,149.0,61,,,,,0,85,85,19,,,,,,,,,,,,,,,,,,left,1,3.1830540644,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,60.0,60,,,,,0,86,86,17,,,,,,,,,,,,,,,,,,right,1,3.41587947682,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,150.0,30,,,,,0,87,87,14,,,,,,,,,,,,,,,,,,left,1,1.76777449017,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,56.0,9,,,,,0,88,88,37,,,,,,,,,,,,,,,,,,right,1,1.35006394843,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,150.0,9,,,,,0,89,89,69,,,,,,,,,,,,,,,,,,right,1,0.534027890768,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,6.46575929085,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
