key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,61,61,38,1,5000,0,104000,10,1.643
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,62,62,64,1,25000,0,150000,4,1.902
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,63,63,0,1,10000,0,20000,5,1.971
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,64,64,14,1,10000,0,150000,30,2.314
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,65,65,82,1,25000,0,75000,90,2.596
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,66,66,24,1,10000,0,149000,89,1.898
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,67,67,39,1,5000,0,149000,10,1.858
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,68,68,56,1,5000,0,35000,150,3.354
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,69,69,32,1,5000,0,54000,5,2.074
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,70,70,33,1,5000,0,104000,5,0.888
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,71,71,85,1,25000,0,35000,150,2.137
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,72,72,19,1,10000,0,149000,61,3.54
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,73,73,16,1,10000,0,39000,59,2.199
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,74,74,35,1,5000,0,15000,11,4.081
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,75,75,69,1,25000,0,150000,9,1.451
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,76,76,13,1,10000,0,111000,30,2.602
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,77,77,15,1,10000,0,20000,59,2.124
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,78,78,62,1,25000,0,75000,5,2.082
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,79,79,54,1,5000,0,150000,90,2.623
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,80,80,17,1,10000,0,60000,60,3.025
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,81,81,79,1,25000,0,150000,61,2.908
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,82,82,44,1,5000,0,150000,30,4.26
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,83,83,26,1,10000,0,39000,150,1.729
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,84,84,34,1,5000,0,151000,4,0.867
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,85,85,78,1,25000,0,125000,59,4.115
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,86,86,8,1,10000,0,111000,10,1.419
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,87,87,18,1,10000,0,110000,60,1.774
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,88,88,71,1,25000,0,55000,30,2.368
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,89,89,10,1,10000,0,21000,31,1.427
