key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,65,65,8,1,10000,0,111000,10,4.3914
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,66,66,88,1,25000,0,125000,149,5.6485
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,67,67,77,1,25000,0,75000,59,3.3852
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,68,68,19,1,10000,0,149000,61,4.3149
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,69,69,2,1,10000,0,61000,4,2.515
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,70,70,0,1,10000,0,20000,5,1.1993
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,71,71,58,1,5000,0,106000,152,2.089
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,72,72,18,1,10000,0,110000,60,2.6712
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,73,73,61,1,25000,0,55000,6,6.0228
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,74,74,10,1,10000,0,21000,31,3.9297
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,75,75,38,1,5000,0,104000,10,5.8636
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,76,76,71,1,25000,0,55000,30,7.7596
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,77,77,31,1,5000,0,35000,6,10.1188
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,78,78,6,1,10000,0,40000,10,16.1067
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,79,79,53,1,5000,0,104000,90,1.8082
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,80,80,68,1,25000,0,125000,9,2.077
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,81,81,83,1,25000,0,125000,89,2.1077
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,82,82,43,1,5000,0,106000,29,4.352
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,83,83,49,1,5000,0,149000,59,9.9853
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,84,84,46,1,5000,0,36000,61,2.4442
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,85,85,74,1,25000,0,150000,29,3.8728
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,86,86,24,1,10000,0,149000,89,4.3628
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,87,87,63,1,25000,0,125000,4,3.2333
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,88,88,39,1,5000,0,149000,10,1.923
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,89,89,78,1,25000,0,125000,59,3.1521
