key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,59,59,20,1,10000,0,20000,90,5.16763,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,60,60,88,1,25000,0,125000,149,2.39059,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,61,61,23,1,10000,0,110000,90,2.64697,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,62,62,75,1,25000,0,35000,60,1.43631,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,63,63,28,1,10000,0,109000,149,4.420525,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,64,64,29,1,10000,0,151000,151,3.274805,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,65,65,54,1,5000,0,150000,90,1.986155,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,66,66,18,1,10000,0,110000,60,1.837875,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,67,67,49,1,5000,0,149000,59,1.32435,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,68,68,74,1,25000,0,150000,29,2.054,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,69,69,83,1,25000,0,125000,89,1.519855,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,70,70,34,1,5000,0,151000,4,1.863655,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,71,71,17,1,10000,0,60000,60,2.753005,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,72,72,87,1,25000,0,75000,151,2.04117,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,73,73,13,1,10000,0,111000,30,1.722285,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,74,74,67,1,25000,0,75000,10,5.472555,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,75,75,48,1,5000,0,105000,60,1.458825,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,76,76,38,1,5000,0,104000,10,1.336335,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,77,77,45,1,5000,0,15000,61,1.44416,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,78,78,26,1,10000,0,39000,150,2.48875,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,79,79,24,1,10000,0,149000,89,3.670785,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,80,80,53,1,5000,0,104000,90,1.50727,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,81,81,5,1,10000,0,19000,11,1.83026,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,82,82,57,1,5000,0,55000,151,2.985605,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,83,83,10,1,10000,0,21000,31,1.995385,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,84,84,81,1,25000,0,55000,90,5.713385,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,85,85,63,1,25000,0,125000,4,0.925245,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,86,86,1,1,10000,0,39000,6,1.15917,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,87,87,59,1,5000,0,151000,150,2.48652,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,88,88,41,1,5000,0,35000,31,2.38411,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,89,89,80,1,25000,0,35000,90,3.93073,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,right,1.747365
